x1;x2;D1;D2;coeff1;min1;coeff2;min2
0;1;0;0;0;0;0;0
1;15;5125;0;366.0714286;0;0;0
15;25;10250;0;512.5;5125;0;0
25;35;10250;0;0;5125;0;0
35;45;10250;0;0;5125;0;0
45;55;10250;0;0;5125;0;0
55;65;11407;0;115.7;10250;0;0
65;75;12564;0;115.7;11407;0;0
75;85;13721;9254;115.7;12564;925.4;0
85;95;14878;9932;115.7;13721;67.8;9254
95;105;16035;10610;115.7;14878;67.8;9932
105;115;16942;11397;90.7;16035;78.7;10610
115;125;17849;12184;90.7;16942;78.7;11397
125;135;18756;12971;90.7;17849;78.7;12184
135;145;19663;13758;90.7;18756;78.7;12971
145;155;20570;14545;90.7;19663;78.7;13758
155;165;21383;15344;81.3;20570;79.9;14545
165;175;22196;16143;81.3;21383;79.9;15344
175;185;23009;16942;81.3;22196;79.9;16143
185;195;23822;17741;81.3;23009;79.9;16942
195;205;24635;18540;81.3;23822;79.9;17741
205;215;24926;18831;29.1;24635;29.1;18540
215;225;25217;19122;29.1;24926;29.1;18831
225;235;25508;19413;29.1;25217;29.1;19122
235;245;25799;19704;29.1;25508;29.1;19413
245;255;26090;19995;29.1;25799;29.1;19704
255;265;27312;21147;122.2;26090;115.2;19995
265;275;28534;22299;122.2;27312;115.2;21147
275;285;29756;23451;122.2;28534;115.2;22299
285;295;30978;24603;122.2;29756;115.2;23451
295;305;32200;25755;122.2;30978;115.2;24603
